title;description;url;image;language
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Bella3009/MyPortfoglio.git;2.png; Python
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Bella3009/PDF-Generator.git;3.png; Python
Todo App;A distraction-free app to help you focus on creating and completing tasks.;https://github.com/Bella3009/ToDo-App-GUI.git;GUIToDO.png;Python
Simple Todo App;A small and simple app to create and complete tasks A distraction-free app to help you focus on creating and completing tasks.;https://github.com/Bella3009/ToDo-App.git;ToDo.png;Python
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png; Python
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png; Python
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png; Python
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png; Python
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png; Python
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png; Python
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png; Python
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png; Python
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png; Python
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png; Python
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png; Python
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png; Python
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png; Python
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png; Python
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png; Python
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png; Python
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png; Python
